AdvisoryNumber,Date,Lat,Long,Wind,Pres,Movement,stormtypeName,Name,Received,Forecaster
1,"2021-05-22 10:00:00",34.2,-62.2,45,1006,"WSW at 3 MPH","Subtropical Storm",Ana,"2021-05-22 04:47:49",Cangialosi
1A,"2021-05-22 13:00:00",34.2,-62.5,45,1006,"WSW at 3 MPH","Subtropical Storm",Ana,"2021-05-22 07:50:37",Beven
2,"2021-05-22 16:00:00",34.3,-63,45,1006,"W at 3 MPH","Subtropical Storm",Ana,"2021-05-22 10:53:35",Beven
3,"2021-05-22 22:00:00",34.5,-62.4,40,1007,"NE at 5 MPH","Subtropical Storm",Ana,"2021-05-22 16:41:50",Beven
4,"2021-05-23 04:00:00",35,-61.4,45,1006,"NE at 9 MPH","Subtropical Storm",Ana,"2021-05-22 22:53:44",Papin/Brown
5,"2021-05-23 10:00:00",35.7,-60.5,45,1006,"NE at 12 MPH","Tropical Storm",Ana,"2021-05-23 04:41:37",Cangialosi
6,"2021-05-23 16:00:00",36.6,-59.4,40,1007,"NE at 14 MPH","Tropical Storm",Ana,"2021-05-23 10:59:35",Latto
7,"2021-05-23 22:00:00",37.5,-57.7,35,1008,"NE at 17 MPH","Tropical Depression",Ana,"2021-05-23 16:56:57",Latto
8,"2021-05-24 04:00:00",38.3,-55.2,40,1007,"NE at 28 MPH","Post-Tropical Cyclone",Ana,"2021-05-23 22:47:50",Reinhart/Brown
1,"2021-06-14 16:00:00",35,-73.7,35,1006,"NE at 21 MPH","Tropical Depression",Two,"2021-06-14 10:57:16",Blake
2,"2021-06-14 22:00:00",35.5,-72,35,1006,"NE at 18 MPH","Tropical Depression",Two,"2021-06-14 16:48:32",Blake
3,"2021-06-15 04:00:00",36.7,-69.8,45,1003,"NE at 23 MPH","Tropical Storm",Bill,"2021-06-14 22:48:30",Pasch
5,"2021-06-15 16:00:00",40.5,-62,60,998,"NE at 38 MPH","Tropical Storm",Bill,"2021-06-15 10:38:55",Cangialosi
6,"2021-06-15 22:00:00",41.6,-59.6,60,998,"NE at 36 MPH","Tropical Storm",Bill,"2021-06-15 16:36:31",Cangialosi
7,"2021-06-16 04:00:00",43.5,-57,50,1002,"NE at 29 MPH","Post-Tropical Cyclone",Bill,"2021-06-15 22:39:42",Beven
1,"2021-06-17 22:00:00",22.9,-92.4,30,1008,"N at 9 MPH","Potential Tropical Cyclone",Three,"2021-06-17 16:51:18",Pasch
1A,"2021-06-18 01:00:00",23.2,-92.3,30,1007,"N at 9 MPH","Potential Tropical Cyclone",Three,"2021-06-17 19:41:59",Beven
2,"2021-06-18 04:00:00",23.5,-92.2,30,1007,"N at 9 MPH","Potential Tropical Cyclone",Three,"2021-06-17 22:45:37",Beven
2A,"2021-06-18 07:00:00",24,-92,35,1007,"N at 9 MPH","Potential Tropical Cyclone",Three,"2021-06-18 01:42:39",Blake
3,"2021-06-18 10:00:00",25.2,-91.5,35,1007,"N at 14 MPH","Potential Tropical Cyclone",Three,"2021-06-18 05:00:12",Blake
3A,"2021-06-18 13:00:00",26,-91.5,35,1007,"N at 14 MPH","Potential Tropical Cyclone",Three,"2021-06-18 07:39:21",Cangialosi
4,"2021-06-18 16:00:00",26.5,-91.1,35,1007,"NNE at 14 MPH","Potential Tropical Cyclone",Three,"2021-06-18 10:45:11",Cangialosi
4A,"2021-06-18 19:00:00",27.3,-91.1,45,1007,"N at 14 MPH","Potential Tropical Cyclone",Three,"2021-06-18 13:54:31",Cangialosi
5,"2021-06-18 22:00:00",27.9,-91.2,45,1006,"N at 16 MPH","Potential Tropical Cyclone",Three,"2021-06-18 16:38:55",Cangialosi
5A,"2021-06-19 01:00:00",28.3,-91.1,45,1007,"N at 16 MPH","Potential Tropical Cyclone",Three,"2021-06-18 19:54:07",Beven
6,"2021-06-19 04:00:00",28.9,-90.9,45,1007,"N at 13 MPH","Potential Tropical Cyclone",Three,"2021-06-18 22:44:58",Beven
